Relaxed condition: Temperature,Mass percent Fe,Mass percent Si,Mass percent Al,Mass percent Mn,Temperature [K],Mass percent C
1335.90621,95.3,0.3,2.1,2.1,1373.15,0.2
1311.01133,95,0.3,2.1,2.4,1373.15,0.2
1289.36192,94.7,0.3,2.1,2.7,1373.15,0.2
1269.90674,94.4,0.3,2.1,3,1373.15,0.2
,97.1,0.3,2.4,0,1373.15,0.2
,96.8,0.3,2.4,0.3,1373.15,0.2
,96.5,0.3,2.4,0.6,1373.15,0.2
,96.2,0.3,2.4,0.9,1373.15,0.2
,95.9,0.3,2.4,1.2,1373.15,0.2
,95.6,0.3,2.4,1.5,1373.15,0.2
,95.3,0.3,2.4,1.8,1373.15,0.2
,95,0.3,2.4,2.1,1373.15,0.2
,94.7,0.3,2.4,2.4,1373.15,0.2
,94.4,0.3,2.4,2.7,1373.15,0.2
1366.11393,94.1,0.3,2.4,3,1373.15,0.2
,96.8,0.3,2.7,0,1373.15,0.2
,96.5,0.3,2.7,0.3,1373.15,0.2
,96.2,0.3,2.7,0.6,1373.15,0.2
,95.9,0.3,2.7,0.9,1373.15,0.2
,95.6,0.3,2.7,1.2,1373.15,0.2
,95.3,0.3,2.7,1.5,1373.15,0.2
,95,0.3,2.7,1.8,1373.15,0.2
,94.7,0.3,2.7,2.1,1373.15,0.2
,94.4,0.3,2.7,2.4,1373.15,0.2
,94.1,0.3,2.7,2.7,1373.15,0.2
,93.8,0.3,2.7,3,1373.15,0.2
,96.5,0.3,3,0,1373.15,0.2
,96.2,0.3,3,0.3,1373.15,0.2
,95.9,0.3,3,0.6,1373.15,0.2
,95.6,0.3,3,0.9,1373.15,0.2
,95.3,0.3,3,1.2,1373.15,0.2
,95,0.3,3,1.5,1373.15,0.2
,94.7,0.3,3,1.8,1373.15,0.2
,94.4,0.3,3,2.1,1373.15,0.2
,94.1,0.3,3,2.4,1373.15,0.2
,93.8,0.3,3,2.7,1373.15,0.2
,93.5,0.3,3,3,1373.15,0.2
1138.09291,99.2,0.6,0,0,1373.15,0.2
1127.27305,98.9,0.6,0,0.3,1373.15,0.2
1116.87444,98.6,0.6,0,0.6,1373.15,0.2
1106.86868,98.3,0.6,0,0.9,1373.15,0.2
1097.23039,98,0.6,0,1.2,1373.15,0.2
1087.93676,97.7,0.6,0,1.5,1373.15,0.2
1780.54084,97.4,0.6,0,1.8,1373.15,0.2
1782.72303,97.1,0.6,0,2.1,1373.15,0.2
1784.76422,96.8,0.6,0,2.4,1373.15,0.2
1786.67385,96.5,0.6,0,2.7,1373.15,0.2
1788.46042,96.2,0.6,0,3,1373.15,0.2
1175.82429,98.9,0.6,0.3,0,1373.15,0.2
1164.01764,98.6,0.6,0.3,0.3,1373.15,0.2
1152.69906,98.3,0.6,0.3,0.6,1373.15,0.2
1141.83208,98,0.6,0.3,0.9,1373.15,0.2
1131.38446,97.7,0.6,0.3,1.2,1373.15,0.2
1121.32758,97.4,0.6,0.3,1.5,1373.15,0.2
1111.63584,97.1,0.6,0.3,1.8,1373.15,0.2
1102.28626,96.8,0.6,0.3,2.1,1373.15,0.2
1093.25816,96.5,0.6,0.3,2.4,1373.15,0.2
1771.19032,96.2,0.6,0.3,2.7,1373.15,0.2
1772.95819,95.9,0.6,0.3,3,1373.15,0.2
1214.3891,98.6,0.6,0.6,0,1373.15,0.2
1201.22586,98.3,0.6,0.6,0.3,1373.15,0.2
1188.65295,98,0.6,0.6,0.6,1373.15,0.2
1176.61965,97.7,0.6,0.6,0.9,1373.15,0.2
1165.08215,97.4,0.6,0.6,1.2,1373.15,0.2
1154.00227,97.1,0.6,0.6,1.5,1373.15,0.2
1143.34646,96.8,0.6,0.6,1.8,1373.15,0.2
1133.08498,96.5,0.6,0.6,2.1,1373.15,0.2
1123.19138,96.2,0.6,0.6,2.4,1373.15,0.2
1113.64198,95.9,0.6,0.6,2.7,1373.15,0.2
1104.41561,95.6,0.6,0.6,3,1373.15,0.2
1256.50114,98.3,0.6,0.9,0,1373.15,0.2
1241.40868,98,0.6,0.9,0.3,1373.15,0.2
1227.09317,97.7,0.6,0.9,0.6,1373.15,0.2
1213.47162,97.4,0.6,0.9,0.9,1373.15,0.2
1200.47557,97.1,0.6,0.9,1.2,1373.15,0.2
1188.04757,96.8,0.6,0.9,1.5,1373.15,0.2
1176.13867,96.5,0.6,0.9,1.8,1373.15,0.2
1164.70671,96.2,0.6,0.9,2.1,1373.15,0.2
1153.71496,95.9,0.6,0.9,2.4,1373.15,0.2
1143.13121,95.6,0.6,0.9,2.7,1373.15,0.2
1132.927,95.3,0.6,0.9,3,1373.15,0.2
1306.53732,98,0.6,1.2,0,1373.15,0.2
1288.23321,97.7,0.6,1.2,0.3,1373.15,0.2
1271.16112,97.4,0.6,1.2,0.6,1373.15,0.2
1255.12945,97.1,0.6,1.2,0.9,1373.15,0.2
1239.99533,96.8,0.6,1.2,1.2,1373.15,0.2
1225.64815,96.5,0.6,1.2,1.5,1373.15,0.2
1211.99982,96.2,0.6,1.2,1.8,1373.15,0.2
1198.97847,95.9,0.6,1.2,2.1,1373.15,0.2
1186.52436,95.6,0.6,1.2,2.4,1373.15,0.2
1174.58708,95.3,0.6,1.2,2.7,1373.15,0.2
1163.12346,95,0.6,1.2,3,1373.15,0.2
1378.01133,97.7,0.6,1.5,0,1373.15,0.2
1351.2626,97.4,0.6,1.5,0.3,1373.15,0.2
1328.04745,97.1,0.6,1.5,0.6,1373.15,0.2
1307.22825,96.8,0.6,1.5,0.9,1373.15,0.2
1288.19511,96.5,0.6,1.5,1.2,1373.15,0.2
1270.57329,96.2,0.6,1.5,1.5,1373.15,0.2
1254.1113,95.9,0.6,1.5,1.8,1373.15,0.2
1238.62953,95.6,0.6,1.5,2.1,1373.15,0.2
1223.99368,95.3,0.6,1.5,2.4,1373.15,0.2
1210.09966,95,0.6,1.5,2.7,1373.15,0.2
1196.86454,94.7,0.6,1.5,3,1373.15,0.2
,97.4,0.6,1.8,0,1373.15,0.2
,97.1,0.6,1.8,0.3,1373.15,0.2
,96.8,0.6,1.8,0.6,1373.15,0.2
1395.30348,96.5,0.6,1.8,0.9,1373.15,0.2
1360.81007,96.2,0.6,1.8,1.2,1373.15,0.2
1333.74768,95.9,0.6,1.8,1.5,1373.15,0.2
1310.5612,95.6,0.6,1.8,1.8,1373.15,0.2
1289.90717,95.3,0.6,1.8,2.1,1373.15,0.2
1271.09939,95,0.6,1.8,2.4,1373.15,0.2
1253.72853,94.7,0.6,1.8,2.7,1373.15,0.2
1237.52556,94.4,0.6,1.8,3,1373.15,0.2
,97.1,0.6,2.1,0,1373.15,0.2
,96.8,0.6,2.1,0.3,1373.15,0.2
,96.5,0.6,2.1,0.6,1373.15,0.2
,96.2,0.6,2.1,0.9,1373.15,0.2
,95.9,0.6,2.1,1.2,1373.15,0.2
,95.6,0.6,2.1,1.5,1373.15,0.2
,95.3,0.6,2.1,1.8,1373.15,0.2
1389.76191,95,0.6,2.1,2.1,1373.15,0.2
1347.93622,94.7,0.6,2.1,2.4,1373.15,0.2
1318.75788,94.4,0.6,2.1,2.7,1373.15,0.2
1294.63899,94.1,0.6,2.1,3,1373.15,0.2
,96.8,0.6,2.4,0,1373.15,0.2
,96.5,0.6,2.4,0.3,1373.15,0.2
,96.2,0.6,2.4,0.6,1373.15,0.2
,95.9,0.6,2.4,0.9,1373.15,0.2
,95.6,0.6,2.4,1.2,1373.15,0.2
,95.3,0.6,2.4,1.5,1373.15,0.2
,95,0.6,2.4,1.8,1373.15,0.2
,94.7,0.6,2.4,2.1,1373.15,0.2
,94.4,0.6,2.4,2.4,1373.15,0.2
,94.1,0.6,2.4,2.7,1373.15,0.2
,93.8,0.6,2.4,3,1373.15,0.2
,96.5,0.6,2.7,0,1373.15,0.2
,96.2,0.6,2.7,0.3,1373.15,0.2
,95.9,0.6,2.7,0.6,1373.15,0.2
,95.6,0.6,2.7,0.9,1373.15,0.2
,95.3,0.6,2.7,1.2,1373.15,0.2
,95,0.6,2.7,1.5,1373.15,0.2
,94.7,0.6,2.7,1.8,1373.15,0.2
,94.4,0.6,2.7,2.1,1373.15,0.2
,94.1,0.6,2.7,2.4,1373.15,0.2
,93.8,0.6,2.7,2.7,1373.15,0.2
,93.5,0.6,2.7,3,1373.15,0.2
,96.2,0.6,3,0,1373.15,0.2
,95.9,0.6,3,0.3,1373.15,0.2
,95.6,0.6,3,0.6,1373.15,0.2
,95.3,0.6,3,0.9,1373.15,0.2
,95,0.6,3,1.2,1373.15,0.2
,94.7,0.6,3,1.5,1373.15,0.2
,94.4,0.6,3,1.8,1373.15,0.2
,94.1,0.6,3,2.1,1373.15,0.2
,93.8,0.6,3,2.4,1373.15,0.2
,93.5,0.6,3,2.7,1373.15,0.2
,93.2,0.6,3,3,1373.15,0.2
1153.09209,98.9,0.9,0,0,1373.15,0.2
1141.25431,98.6,0.9,0,0.3,1373.15,0.2
1129.9146,98.3,0.9,0,0.6,1373.15,0.2
1119.03556,98,0.9,0,0.9,1373.15,0.2
1108.58418,97.7,0.9,0,1.2,1373.15,0.2
1098.53114,97.4,0.9,0,1.5,1373.15,0.2
1088.85029,97.1,0.9,0,1.8,1373.15,0.2
1777.34826,96.8,0.9,0,2.1,1373.15,0.2
1779.71949,96.5,0.9,0,2.4,1373.15,0.2
1781.93734,96.2,0.9,0,2.7,1373.15,0.2
1784.01247,95.9,0.9,0,3,1373.15,0.2
1191.73468,98.6,0.9,0.3,0,1373.15,0.2
1178.76629,98.3,0.9,0.3,0.3,1373.15,0.2
1166.38752,98,0.9,0.3,0.6,1373.15,0.2
1154.54868,97.7,0.9,0.3,0.9,1373.15,0.2
1143.20666,97.4,0.9,0.3,1.2,1373.15,0.2
1132.32368,97.1,0.9,0.3,1.5,1373.15,0.2
1121.86645,96.8,0.9,0.3,1.8,1373.15,0.2
1111.80538,96.5,0.9,0.3,2.1,1373.15,0.2
1102.11411,96.2,0.9,0.3,2.4,1373.15,0.2
1092.76907,95.9,0.9,0.3,2.7,1373.15,0.2
1767.48005,95.6,0.9,0.3,3,1373.15,0.2
1232.32002,98.3,0.9,0.6,0,1373.15,0.2
1217.74554,98,0.9,0.6,0.3,1373.15,0.2
1203.90807,97.7,0.9,0.6,0.6,1373.15,0.2
1190.73419,97.4,0.9,0.6,0.9,1373.15,0.2
1178.1622,97.1,0.9,0.6,1.2,1373.15,0.2
1166.13949,96.8,0.9,0.6,1.5,1373.15,0.2
1154.62068,96.5,0.9,0.6,1.8,1373.15,0.2
1143.56624,96.2,0.9,0.6,2.1,1373.15,0.2
1132.94145,95.9,0.9,0.6,2.4,1373.15,0.2
1122.71563,95.6,0.9,0.6,2.7,1373.15,0.2
1112.86159,95.3,0.9,0.6,3,1373.15,0.2
1278.03794,98,0.9,0.9,0,1373.15,0.2
1261.01624,97.7,0.9,0.9,0.3,1373.15,0.2
1245.02815,97.4,0.9,0.9,0.6,1373.15,0.2
1229.93866,97.1,0.9,0.9,0.9,1373.15,0.2
1215.64156,96.8,0.9,0.9,1.2,1373.15,0.2
1202.05106,96.5,0.9,0.9,1.5,1373.15,0.2
1189.0964,96.2,0.9,0.9,1.8,1373.15,0.2
1176.71818,95.9,0.9,0.9,2.1,1373.15,0.2
1164.86583,95.6,0.9,0.9,2.4,1373.15,0.2
1153.49581,95.3,0.9,0.9,2.7,1373.15,0.2
1142.57022,95,0.9,0.9,3,1373.15,0.2
1335.5542,97.7,0.9,1.2,0,1373.15,0.2
1313.80948,97.4,0.9,1.2,0.3,1373.15,0.2
