A3	Mass percent Fe	Mass percent Si	Mass percent Al	Mass percent Mn	Temperature [°C]	Mass percent C
1046.77728	97.70000	0.30000	1.50000	0.30000	800.00000	0.20000
1027.83873	97.40000	0.30000	1.50000	0.60000	800.00000	0.20000
1010.25765	97.10000	0.30000	1.50000	0.90000	800.00000	0.20000
993.79497	96.80000	0.30000	1.50000	1.20000	800.00000	0.20000
978.27990	96.50000	0.30000	1.50000	1.50000	800.00000	0.20000
963.58470	96.20000	0.30000	1.50000	1.80000	800.00000	0.20000
949.61043	95.90000	0.30000	1.50000	2.10000	800.00000	0.20000
936.27827	95.60000	0.30000	1.50000	2.40000	800.00000	0.20000
923.52397	95.30000	0.30000	1.50000	2.70000	800.00000	0.20000
911.29418	95.00000	0.30000	1.50000	3.00000	800.00000	0.20000
	97.70000	0.30000	1.80000	0.00000	800.00000	0.20000
	97.40000	0.30000	1.80000	0.30000	800.00000	0.20000
1102.62137	97.10000	0.30000	1.80000	0.60000	800.00000	0.20000
1075.30383	96.80000	0.30000	1.80000	0.90000	800.00000	0.20000
1051.94039	96.50000	0.30000	1.80000	1.20000	800.00000	0.20000
1031.12732	96.20000	0.30000	1.80000	1.50000	800.00000	0.20000
1012.16120	95.90000	0.30000	1.80000	1.80000	800.00000	0.20000
994.62740	95.60000	0.30000	1.80000	2.10000	800.00000	0.20000
978.25565	95.30000	0.30000	1.80000	2.40000	800.00000	0.20000
962.85721	95.00000	0.30000	1.80000	2.70000	800.00000	0.20000
948.29341	94.70000	0.30000	1.80000	3.00000	800.00000	0.20000
	97.40000	0.30000	2.10000	0.00000	800.00000	0.20000
	97.10000	0.30000	2.10000	0.30000	800.00000	0.20000
	96.80000	0.30000	2.10000	0.60000	800.00000	0.20000
	96.50000	0.30000	2.10000	0.90000	800.00000	0.20000
	96.20000	0.30000	2.10000	1.20000	800.00000	0.20000
	95.90000	0.30000	2.10000	1.50000	800.00000	0.20000
1093.39781	95.60000	0.30000	2.10000	1.80000	800.00000	0.20000
1062.75621	95.30000	0.30000	2.10000	2.10000	800.00000	0.20000
1037.86133	95.00000	0.30000	2.10000	2.40000	800.00000	0.20000
1016.21192	94.70000	0.30000	2.10000	2.70000	800.00000	0.20000
996.75674	94.40000	0.30000	2.10000	3.00000	800.00000	0.20000
	97.10000	0.30000	2.40000	0.00000	800.00000	0.20000
	96.80000	0.30000	2.40000	0.30000	800.00000	0.20000
	96.50000	0.30000	2.40000	0.60000	800.00000	0.20000
	96.20000	0.30000	2.40000	0.90000	800.00000	0.20000
	95.90000	0.30000	2.40000	1.20000	800.00000	0.20000
	95.60000	0.30000	2.40000	1.50000	800.00000	0.20000
	95.30000	0.30000	2.40000	1.80000	800.00000	0.20000
	95.00000	0.30000	2.40000	2.10000	800.00000	0.20000
	94.70000	0.30000	2.40000	2.40000	800.00000	0.20000
	94.40000	0.30000	2.40000	2.70000	800.00000	0.20000
1092.96393	94.10000	0.30000	2.40000	3.00000	800.00000	0.20000
	96.80000	0.30000	2.70000	0.00000	800.00000	0.20000
	96.50000	0.30000	2.70000	0.30000	800.00000	0.20000
	96.20000	0.30000	2.70000	0.60000	800.00000	0.20000
	95.90000	0.30000	2.70000	0.90000	800.00000	0.20000
	95.60000	0.30000	2.70000	1.20000	800.00000	0.20000
	95.30000	0.30000	2.70000	1.50000	800.00000	0.20000
	95.00000	0.30000	2.70000	1.80000	800.00000	0.20000
	94.70000	0.30000	2.70000	2.10000	800.00000	0.20000
	94.40000	0.30000	2.70000	2.40000	800.00000	0.20000
	94.10000	0.30000	2.70000	2.70000	800.00000	0.20000
	93.80000	0.30000	2.70000	3.00000	800.00000	0.20000
	96.50000	0.30000	3.00000	0.00000	800.00000	0.20000
	96.20000	0.30000	3.00000	0.30000	800.00000	0.20000
	95.90000	0.30000	3.00000	0.60000	800.00000	0.20000
	95.60000	0.30000	3.00000	0.90000	800.00000	0.20000
	95.30000	0.30000	3.00000	1.20000	800.00000	0.20000
	95.00000	0.30000	3.00000	1.50000	800.00000	0.20000
	94.70000	0.30000	3.00000	1.80000	800.00000	0.20000
	94.40000	0.30000	3.00000	2.10000	800.00000	0.20000
	94.10000	0.30000	3.00000	2.40000	800.00000	0.20000
	93.80000	0.30000	3.00000	2.70000	800.00000	0.20000
	93.50000	0.30000	3.00000	3.00000	800.00000	0.20000
864.94291	99.20000	0.60000	0.00000	0.00000	800.00000	0.20000
854.12305	98.90000	0.60000	0.00000	0.30000	800.00000	0.20000
843.72444	98.60000	0.60000	0.00000	0.60000	800.00000	0.20000
833.71868	98.30000	0.60000	0.00000	0.90000	800.00000	0.20000
824.08039	98.00000	0.60000	0.00000	1.20000	800.00000	0.20000
814.78676	97.70000	0.60000	0.00000	1.50000	800.00000	0.20000
805.81726	97.40000	0.60000	0.00000	1.80000	800.00000	0.20000
797.15334	97.10000	0.60000	0.00000	2.10000	800.00000	0.20000
788.77822	96.80000	0.60000	0.00000	2.40000	800.00000	0.20000
780.67670	96.50000	0.60000	0.00000	2.70000	800.00000	0.20000
772.83486	96.20000	0.60000	0.00000	3.00000	800.00000	0.20000
902.67429	98.90000	0.60000	0.30000	0.00000	800.00000	0.20000
890.86764	98.60000	0.60000	0.30000	0.30000	800.00000	0.20000
879.54906	98.30000	0.60000	0.30000	0.60000	800.00000	0.20000
868.68208	98.00000	0.60000	0.30000	0.90000	800.00000	0.20000
858.23446	97.70000	0.60000	0.30000	1.20000	800.00000	0.20000
848.17758	97.40000	0.60000	0.30000	1.50000	800.00000	0.20000
838.48584	97.10000	0.60000	0.30000	1.80000	800.00000	0.20000
829.13626	96.80000	0.60000	0.30000	2.10000	800.00000	0.20000
820.10816	96.50000	0.60000	0.30000	2.40000	800.00000	0.20000
811.38293	96.20000	0.60000	0.30000	2.70000	800.00000	0.20000
802.94357	95.90000	0.60000	0.30000	3.00000	800.00000	0.20000
941.23910	98.60000	0.60000	0.60000	0.00000	800.00000	0.20000
928.07586	98.30000	0.60000	0.60000	0.30000	800.00000	0.20000
915.50295	98.00000	0.60000	0.60000	0.60000	800.00000	0.20000
903.46965	97.70000	0.60000	0.60000	0.90000	800.00000	0.20000
891.93215	97.40000	0.60000	0.60000	1.20000	800.00000	0.20000
880.85227	97.10000	0.60000	0.60000	1.50000	800.00000	0.20000
870.19646	96.80000	0.60000	0.60000	1.80000	800.00000	0.20000
859.93498	96.50000	0.60000	0.60000	2.10000	800.00000	0.20000
850.04138	96.20000	0.60000	0.60000	2.40000	800.00000	0.20000
840.49198	95.90000	0.60000	0.60000	2.70000	800.00000	0.20000
831.26561	95.60000	0.60000	0.60000	3.00000	800.00000	0.20000
983.35114	98.30000	0.60000	0.90000	0.00000	800.00000	0.20000
968.25868	98.00000	0.60000	0.90000	0.30000	800.00000	0.20000
953.94317	97.70000	0.60000	0.90000	0.60000	800.00000	0.20000
940.32162	97.40000	0.60000	0.90000	0.90000	800.00000	0.20000
927.32557	97.10000	0.60000	0.90000	1.20000	800.00000	0.20000
914.89757	96.80000	0.60000	0.90000	1.50000	800.00000	0.20000
902.98867	96.50000	0.60000	0.90000	1.80000	800.00000	0.20000
891.55671	96.20000	0.60000	0.90000	2.10000	800.00000	0.20000
880.56496	95.90000	0.60000	0.90000	2.40000	800.00000	0.20000
869.98121	95.60000	0.60000	0.90000	2.70000	800.00000	0.20000
859.77700	95.30000	0.60000	0.90000	3.00000	800.00000	0.20000
1033.38732	98.00000	0.60000	1.20000	0.00000	800.00000	0.20000
1015.08321	97.70000	0.60000	1.20000	0.30000	800.00000	0.20000
998.01112	97.40000	0.60000	1.20000	0.60000	800.00000	0.20000
981.97945	97.10000	0.60000	1.20000	0.90000	800.00000	0.20000
966.84533	96.80000	0.60000	1.20000	1.20000	800.00000	0.20000
952.49815	96.50000	0.60000	1.20000	1.50000	800.00000	0.20000
938.84982	96.20000	0.60000	1.20000	1.80000	800.00000	0.20000
925.82847	95.90000	0.60000	1.20000	2.10000	800.00000	0.20000
913.37436	95.60000	0.60000	1.20000	2.40000	800.00000	0.20000
901.43708	95.30000	0.60000	1.20000	2.70000	800.00000	0.20000
889.97346	95.00000	0.60000	1.20000	3.00000	800.00000	0.20000
1104.86133	97.70000	0.60000	1.50000	0.00000	800.00000	0.20000
1078.11260	97.40000	0.60000	1.50000	0.30000	800.00000	0.20000
1054.89745	97.10000	0.60000	1.50000	0.60000	800.00000	0.20000
1034.07825	96.80000	0.60000	1.50000	0.90000	800.00000	0.20000
1015.04511	96.50000	0.60000	1.50000	1.20000	800.00000	0.20000
997.42329	96.20000	0.60000	1.50000	1.50000	800.00000	0.20000
980.96130	95.90000	0.60000	1.50000	1.80000	800.00000	0.20000
965.47953	95.60000	0.60000	1.50000	2.10000	800.00000	0.20000
950.84368	95.30000	0.60000	1.50000	2.40000	800.00000	0.20000
936.94966	95.00000	0.60000	1.50000	2.70000	800.00000	0.20000
923.71454	94.70000	0.60000	1.50000	3.00000	800.00000	0.20000
	97.40000	0.60000	1.80000	0.00000	800.00000	0.20000
	97.10000	0.60000	1.80000	0.30000	800.00000	0.20000
	96.80000	0.60000	1.80000	0.60000	800.00000	0.20000
1122.15348	96.50000	0.60000	1.80000	0.90000	800.00000	0.20000
1087.66007	96.20000	0.60000	1.80000	1.20000	800.00000	0.20000
1060.59768	95.90000	0.60000	1.80000	1.50000	800.00000	0.20000
1037.41120	95.60000	0.60000	1.80000	1.80000	800.00000	0.20000
1016.75717	95.30000	0.60000	1.80000	2.10000	800.00000	0.20000
997.94939	95.00000	0.60000	1.80000	2.40000	800.00000	0.20000
980.57853	94.70000	0.60000	1.80000	2.70000	800.00000	0.20000
964.37556	94.40000	0.60000	1.80000	3.00000	800.00000	0.20000
	97.10000	0.60000	2.10000	0.00000	800.00000	0.20000
	96.80000	0.60000	2.10000	0.30000	800.00000	0.20000
	96.50000	0.60000	2.10000	0.60000	800.00000	0.20000
	96.20000	0.60000	2.10000	0.90000	800.00000	0.20000
	95.90000	0.60000	2.10000	1.20000	800.00000	0.20000
	95.60000	0.60000	2.10000	1.50000	800.00000	0.20000
	95.30000	0.60000	2.10000	1.80000	800.00000	0.20000
1116.61191	95.00000	0.60000	2.10000	2.10000	800.00000	0.20000
1074.78622	94.70000	0.60000	2.10000	2.40000	800.00000	0.20000
1045.60788	94.40000	0.60000	2.10000	2.70000	800.00000	0.20000
1021.48899	94.10000	0.60000	2.10000	3.00000	800.00000	0.20000
	96.80000	0.60000	2.40000	0.00000	800.00000	0.20000
	96.50000	0.60000	2.40000	0.30000	800.00000	0.20000
	96.20000	0.60000	2.40000	0.60000	800.00000	0.20000
	95.90000	0.60000	2.40000	0.90000	800.00000	0.20000
	95.60000	0.60000	2.40000	1.20000	800.00000	0.20000
	95.30000	0.60000	2.40000	1.50000	800.00000	0.20000
	95.00000	0.60000	2.40000	1.80000	800.00000	0.20000
	94.70000	0.60000	2.40000	2.10000	800.00000	0.20000
	94.40000	0.60000	2.40000	2.40000	800.00000	0.20000
	94.10000	0.60000	2.40000	2.70000	800.00000	0.20000
	93.80000	0.60000	2.40000	3.00000	800.00000	0.20000
	96.50000	0.60000	2.70000	0.00000	800.00000	0.20000
	96.20000	0.60000	2.70000	0.30000	800.00000	0.20000
	95.90000	0.60000	2.70000	0.60000	800.00000	0.20000
	95.60000	0.60000	2.70000	0.90000	800.00000	0.20000
	95.30000	0.60000	2.70000	1.20000	800.00000	0.20000
	95.00000	0.60000	2.70000	1.50000	800.00000	0.20000
	94.70000	0.60000	2.70000	1.80000	800.00000	0.20000
	94.40000	0.60000	2.70000	2.10000	800.00000	0.20000
	94.10000	0.60000	2.70000	2.40000	800.00000	0.20000
	93.80000	0.60000	2.70000	2.70000	800.00000	0.20000
	93.50000	0.60000	2.70000	3.00000	800.00000	0.20000
	96.20000	0.60000	3.00000	0.00000	800.00000	0.20000
	95.90000	0.60000	3.00000	0.30000	800.00000	0.20000
	95.60000	0.60000	3.00000	0.60000	800.00000	0.20000
	95.30000	0.60000	3.00000	0.90000	800.00000	0.20000
	95.00000	0.60000	3.00000	1.20000	800.00000	0.20000
	94.70000	0.60000	3.00000	1.50000	800.00000	0.20000
	94.40000	0.60000	3.00000	1.80000	800.00000	0.20000
