A3,Mass percent Fe,Mass percent Si,Mass percent Al,Mass percent Mn,Temperature [°C]
942.49156,96.8,0.9,0.9,1.2,800
928.90106,96.5,0.9,0.9,1.5,800
915.9464,96.2,0.9,0.9,1.8,800
903.56818,95.9,0.9,0.9,2.1,800
891.71583,95.6,0.9,0.9,2.4,800
880.34581,95.3,0.9,0.9,2.7,800
869.42022,95,0.9,0.9,3,800
1062.4042,97.7,0.9,1.2,0,800
1040.65948,97.4,0.9,1.2,0.3,800
1020.8494,97.1,0.9,1.2,0.6,800
1002.56411,96.8,0.9,1.2,0.9,800
985.5297,96.5,0.9,1.2,1.2,800
969.55095,96.2,0.9,1.2,1.5,800
954.48198,95.9,0.9,1.2,1.8,800
940.20971,95.6,0.9,1.2,2.1,800
926.64397,95.3,0.9,1.2,2.4,800
913.71113,95,0.9,1.2,2.7,800
901.35001,94.7,0.9,1.2,3,800
,97.4,0.9,1.5,0,800
1123.16535,97.1,0.9,1.5,0.3,800
1090.62849,96.8,0.9,1.5,0.6,800
1064.10056,96.5,0.9,1.5,0.9,800
1041.04286,96.2,0.9,1.5,1.2,800
1020.36102,95.9,0.9,1.5,1.5,800
1001.45937,95.6,0.9,1.5,1.8,800
983.9683,95.3,0.9,1.5,2.1,800
967.63804,95,0.9,1.5,2.4,800
952.28931,94.7,0.9,1.5,2.7,800
937.78751,94.4,0.9,1.5,3,800
,97.1,0.9,1.8,0,800
,96.8,0.9,1.8,0.3,800
,96.5,0.9,1.8,0.6,800
,96.2,0.9,1.8,0.9,800
,95.9,0.9,1.8,1.2,800
1104.52819,95.6,0.9,1.8,1.5,800
1071.48302,95.3,0.9,1.8,1.8,800
1045.07676,95,0.9,1.8,2.1,800
1022.31431,94.7,0.9,1.8,2.4,800
1001.98451,94.4,0.9,1.8,2.7,800
983.44886,94.1,0.9,1.8,3,800
,96.8,0.9,2.1,0,800
,96.5,0.9,2.1,0.3,800
,96.2,0.9,2.1,0.6,800
,95.9,0.9,2.1,0.9,800
,95.6,0.9,2.1,1.2,800
,95.3,0.9,2.1,1.5,800
,95,0.9,2.1,1.8,800
,94.7,0.9,2.1,2.1,800
,94.4,0.9,2.1,2.4,800
1093.48378,94.1,0.9,2.1,2.7,800
1056.17941,93.8,0.9,2.1,3,800
,96.5,0.9,2.4,0,800
,96.2,0.9,2.4,0.3,800
,95.9,0.9,2.4,0.6,800
,95.6,0.9,2.4,0.9,800
,95.3,0.9,2.4,1.2,800
,95,0.9,2.4,1.5,800
,94.7,0.9,2.4,1.8,800
,94.4,0.9,2.4,2.1,800
,94.1,0.9,2.4,2.4,800
,93.8,0.9,2.4,2.7,800
,93.5,0.9,2.4,3,800
,96.2,0.9,2.7,0,800
,95.9,0.9,2.7,0.3,800
,95.6,0.9,2.7,0.6,800
,95.3,0.9,2.7,0.9,800
,95,0.9,2.7,1.2,800
,94.7,0.9,2.7,1.5,800
,94.4,0.9,2.7,1.8,800
,94.1,0.9,2.7,2.1,800
,93.8,0.9,2.7,2.4,800
,93.5,0.9,2.7,2.7,800
,93.2,0.9,2.7,3,800
,95.9,0.9,3,0,800
,95.6,0.9,3,0.3,800
,95.3,0.9,3,0.6,800
,95,0.9,3,0.9,800
,94.7,0.9,3,1.2,800
,94.4,0.9,3,1.5,800
,94.1,0.9,3,1.8,800
,93.8,0.9,3,2.1,800
,93.5,0.9,3,2.4,800
,93.2,0.9,3,2.7,800
,92.9,0.9,3,3,800
895.92922,98.6,1.2,0,0,800
883.01958,98.3,1.2,0,0.3,800
870.69271,98,1.2,0,0.6,800
858.9001,97.7,1.2,0,0.9,800
847.59956,97.4,1.2,0,1.2,800
836.7541,97.1,1.2,0,1.5,800
826.33112,96.8,1.2,0,1.8,800
816.30168,96.5,1.2,0,2.1,800
806.64001,96.2,1.2,0,2.4,800
797.32313,95.9,1.2,0,2.7,800
788.3304,95.6,1.2,0,3,800
936.0396,98.3,1.2,0.3,0,800
921.78744,98,1.2,0.3,0.3,800
908.24426,97.7,1.2,0.3,0.6,800
895.3425,97.4,1.2,0.3,0.9,800
883.0248,97.1,1.2,0.3,1.2,800
871.24184,96.8,1.2,0.3,1.5,800
859.95081,96.5,1.2,0.3,1.8,800
849.11426,96.2,1.2,0.3,2.1,800
838.69917,95.9,1.2,0.3,2.4,800
828.67628,95.6,1.2,0.3,2.7,800
819.01965,95.3,1.2,0.3,3,800
979.38396,98,1.2,0.6,0,800
963.15118,97.7,1.2,0.6,0.3,800
947.84709,97.4,1.2,0.6,0.6,800
933.3629,97.1,1.2,0.6,0.9,800
919.6104,96.8,1.2,0.6,1.2,800
906.51658,96.5,1.2,0.6,1.5,800
894.02003,96.2,1.2,0.6,1.8,800
882.06835,95.9,1.2,0.6,2.1,800
870.61637,95.6,1.2,0.6,2.4,800
859.62474,95.3,1.2,0.6,2.7,800
849.05898,95,1.2,0.6,3,800
1030.2136,97.7,1.2,0.9,0,800
1010.67143,97.4,1.2,0.9,0.3,800
992.56856,97.1,1.2,0.9,0.6,800
975.66668,96.8,1.2,0.9,0.9,800
959.79095,96.5,1.2,0.9,1.2,800
944.80776,96.2,1.2,0.9,1.5,800
930.61167,95.9,1.2,0.9,1.8,800
917.11734,95.6,1.2,0.9,2.1,800
904.25427,95.3,1.2,0.9,2.4,800
891.96328,95,1.2,0.9,2.7,800
880.19395,94.7,1.2,0.9,3,800
1100.74152,97.4,1.2,1.2,0,800
1072.9339,97.1,1.2,1.2,0.3,800
1048.85646,96.8,1.2,1.2,0.6,800
1027.32131,96.5,1.2,1.2,0.9,800
1007.68709,96.2,1.2,1.2,1.2,800
989.55751,95.9,1.2,1.2,1.5,800
972.66534,95.6,1.2,1.2,1.8,800
956.8189,95.3,1.2,1.2,2.1,800
941.87431,95,1.2,1.2,2.4,800
927.71964,94.7,1.2,1.2,2.7,800
914.26544,94.4,1.2,1.2,3,800
,97.1,1.2,1.5,0,800
,96.8,1.2,1.5,0.3,800
,96.5,1.2,1.5,0.6,800
1107.18359,96.2,1.2,1.5,0.9,800
1075.58325,95.9,1.2,1.5,1.2,800
1049.54227,95.6,1.2,1.5,1.5,800
1026.81398,95.3,1.2,1.5,1.8,800
1006.38698,95,1.2,1.5,2.1,800
987.69824,94.7,1.2,1.5,2.4,800
970.39341,94.4,1.2,1.5,2.7,800
954.23076,94.1,1.2,1.5,3,800
,96.8,1.2,1.8,0,800
,96.5,1.2,1.8,0.3,800
,96.2,1.2,1.8,0.6,800
,95.9,1.2,1.8,0.9,800
,95.6,1.2,1.8,1.2,800
,95.3,1.2,1.8,1.5,800
,95,1.2,1.8,1.8,800
1086.92061,94.7,1.2,1.8,2.1,800
1055.30637,94.4,1.2,1.8,2.4,800
1029.60041,94.1,1.2,1.8,2.7,800
1007.29279,93.8,1.2,1.8,3,800
,96.5,1.2,2.1,0,800
,96.2,1.2,2.1,0.3,800
,95.9,1.2,2.1,0.6,800
,95.6,1.2,2.1,0.9,800
,95.3,1.2,2.1,1.2,800
,95,1.2,2.1,1.5,800
,94.7,1.2,2.1,1.8,800
,94.4,1.2,2.1,2.1,800
,94.1,1.2,2.1,2.4,800
,93.8,1.2,2.1,2.7,800
,93.5,1.2,2.1,3,800
,96.2,1.2,2.4,0,800
,95.9,1.2,2.4,0.3,800
,95.6,1.2,2.4,0.6,800
,95.3,1.2,2.4,0.9,800
,95,1.2,2.4,1.2,800
,94.7,1.2,2.4,1.5,800
,94.4,1.2,2.4,1.8,800
,94.1,1.2,2.4,2.1,800
,93.8,1.2,2.4,2.4,800
,93.5,1.2,2.4,2.7,800
,93.2,1.2,2.4,3,800
,95.9,1.2,2.7,0,800
,95.6,1.2,2.7,0.3,800
,95.3,1.2,2.7,0.6,800
,95,1.2,2.7,0.9,800
,94.7,1.2,2.7,1.2,800
,94.4,1.2,2.7,1.5,800
,94.1,1.2,2.7,1.8,800
,93.8,1.2,2.7,2.1,800
,93.5,1.2,2.7,2.4,800
,93.2,1.2,2.7,2.7,800
,92.9,1.2,2.7,3,800
,95.6,1.2,3,0,800
,95.3,1.2,3,0.3,800
,95,1.2,3,0.6,800
,94.7,1.2,3,0.9,800
,94.4,1.2,3,1.2,800
,94.1,1.2,3,1.5,800
,93.8,1.2,3,1.8,800
,93.5,1.2,3,2.1,800
,93.2,1.2,3,2.4,800
,92.9,1.2,3,2.7,800
,92.6,1.2,3,3,800
913.34768,98.3,1.5,0,0,800
899.26217,98,1.5,0,0.3,800
885.86,97.7,1.5,0,0.6,800
873.07784,97.4,1.5,0,0.9,800
860.86159,97.1,1.5,0,1.2,800
849.16462,96.8,1.5,0,1.5,800
837.94633,96.5,1.5,0,1.8,800
827.17116,96.2,1.5,0,2.1,800
816.80773,95.9,1.5,0,2.4,800
806.82826,95.6,1.5,0,2.7,800
797.20813,95.3,1.5,0,3,800
955.60213,98,1.5,0.3,0,800
939.86962,97.7,1.5,0.3,0.3,800
924.99901,97.4,1.5,0.3,0.6,800
910.89616,97.1,1.5,0.3,0.9,800
897.48334,96.8,1.5,0.3,1.2,800
884.69537,96.5,1.5,0.3,1.5,800
872.47679,96.2,1.5,0.3,1.8,800
860.77989,95.9,1.5,0.3,2.1,800
849.56326,95.6,1.5,0.3,2.4,800
838.79066,95.3,1.5,0.3,2.7,800
828.43022,95,1.5,0.3,3,800
1002.80657,97.7,1.5,0.6,0,800
984.50688,97.4,1.5,0.6,0.3,800
967.41667,97.1,1.5,0.6,0.6,800
951.36436,96.8,1.5,0.6,0.9,800
936.21768,96.5,1.5,0.6,1.2,800
921.87158,96.2,1.5,0.6,1.5,800
908.24058,95.9,1.5,0.6,1.8,800
895.25378,95.6,1.5,0.6,2.1,800
882.85147,95.3,1.5,0.6,2.4,800
